## SLURM PROLOG ###############################################################
##    Job ID : 2037707
##  Job Name : run_vaih
##  Nodelist : gpu2105
##      CPUs : 1
##  Mem/Node : 16384 MB
## Directory : /oscar/home/xwang259/CSCI1430-Final-Project-MedImage-Segmentation/CSCI1430-Final-Project-MedImage-Segmentation/segdiff
##   Job Started : Mon May 13 12:28:32 AM EDT 2024
###############################################################################
2024-05-13-00-38-06-301571  building_109 iou 0.0, f1_Score 0.0, WCov 0.2804186655037069, boundF 0.0
2024-05-13-00-39-08-758588  building_110 iou 0.17810109118274176, f1_Score 0.30235281592675395, WCov 0.9589155370177268, boundF 0.07458258228069872
2024-05-13-00-40-11-263175  building_111 iou 0.0, f1_Score 0.0, WCov 0.0, boundF 0.0
2024-05-13-00-41-13-782669  building_112 iou 0.0084877879785207, f1_Score 0.016832703538302986, WCov 0.3599626255547769, boundF 0.07258715700620226
2024-05-13-00-42-16-300588  building_113 iou 0.167540247098465, f1_Score 0.2869969536636203, WCov 0.5935104752171692, boundF 0.10225365086474965
2024-05-13-00-43-18-786350  building_114 iou 0.14852990875295707, f1_Score 0.2586435191996469, WCov 0.19707643536456498, boundF 0.08637218954149375
2024-05-13-00-44-21-307410  building_115 iou 0.37075662445461316, f1_Score 0.5409517894573402, WCov 0.37353380251652807, boundF 0.14622709398297778
2024-05-13-00-45-23-798509  building_116 iou 0.12269783870153898, f1_Score 0.21857677902621725, WCov 0.1575479060088442, boundF 0.044467606277940074
2024-05-13-00-46-26-293214  building_117 iou 0.06616862326574173, f1_Score 0.12412412412412413, WCov 0.09489451091423874, boundF 0.043421954195779176
2024-05-13-00-47-28-796868  building_118 iou 0.1582140916500634, f1_Score 0.2732035342872781, WCov 0.7939402440735026, boundF 0.11708562608830564
2024-05-13-00-48-31-283681  building_119 iou 0.1633845126835781, f1_Score 0.28087792282312435, WCov 0.1633845126835781, boundF 0.01593757122636414
2024-05-13-00-49-33-753491  building_120 iou 0.0, f1_Score 0.0, WCov 0.0, boundF 0.0
2024-05-13-00-50-36-244661  building_121 iou 0.0, f1_Score 0.0, WCov 0.29010989010989013, boundF 0.0
2024-05-13-00-51-38-738611  building_122 iou 0.6359848484848485, f1_Score 0.7774947904607549, WCov 0.7695984703632888, boundF 0.29043331997915933
2024-05-13-00-52-41-151204  building_123 iou 0.0, f1_Score 0.0, WCov 0.851864946084497, boundF 0.0
2024-05-13-00-53-43-658122  building_124 iou 0.031190202831993877, f1_Score 0.06049359807014287, WCov 0.4488506519693507, boundF 0.10271059157553142
2024-05-13-00-54-46-159571  building_125 iou 0.18184573420215183, f1_Score 0.3077317604821131, WCov 0.43627992633517493, boundF 0.12223333412198771
2024-05-13-00-55-48-647316  building_126 iou 0.0, f1_Score 0.0, WCov 0.049358341559723594, boundF 0.0
2024-05-13-00-56-51-138182  building_127 iou 0.006895017793594306, f1_Score 0.013695604152860613, WCov 0.04188722669735328, boundF 0.0831020903176487
2024-05-13-00-57-53-621558  building_128 iou 0.24620727472125753, f1_Score 0.39513053681431504, WCov 0.2729648991784914, boundF 0.15577369076702524
2024-05-13-00-58-56-016385  building_129 iou 0.07094628640532097, f1_Score 0.13249270725510492, WCov 0.6873610670053986, boundF 0.08487522518515403
2024-05-13-00-59-58-420338  building_130 iou 0.16723202170963364, f1_Score 0.28654460912525426, WCov 0.28061034611090435, boundF 0.1608785297136967
2024-05-13-01-01-00-825566  building_131 iou 0.5533681214421252, f1_Score 0.7124751870514582, WCov 0.8933217692974849, boundF 0.17621119147626377
2024-05-13-01-02-03-179412  building_132 iou 0.00015735641227380016, f1_Score 0.0003146633102580239, WCov 0.0034733185980423114, boundF 0.0
2024-05-13-01-03-05-583459  building_133 iou 0.386145177328472, f1_Score 0.5571496891439502, WCov 0.7153404429860541, boundF 0.22728105791978112
2024-05-13-01-04-07-989830  building_134 iou 0.10371842843779233, f1_Score 0.18794363809725606, WCov 0.10539875863684273, boundF 0.038662656561811955
2024-05-13-01-05-10-424780  building_135 iou 0.4443342151675485, f1_Score 0.6152789437533389, WCov 0.5884349618135531, boundF 0.1966352495534086
2024-05-13-01-06-12-869167  building_136 iou 0.32952796305797843, f1_Score 0.49570670525807997, WCov 0.5, boundF 0.20833950558144726
2024-05-13-01-07-15-302688  building_137 iou 0.03918994937183574, f1_Score 0.07542403464453266, WCov 0.13822140069829533, boundF 0.09260810826998644
2024-05-13-01-08-17-751555  building_138 iou 0.13816742299893792, f1_Score 0.24278927723108243, WCov 0.1388271664573471, boundF 0.15227113955144608
2024-05-13-01-09-20-172591  building_139 iou 0.0, f1_Score 0.0, WCov 0.0, boundF 0.0
2024-05-13-01-10-22-559152  building_140 iou 0.0, f1_Score 0.0, WCov 0.0, boundF 0.0
2024-05-13-01-11-24-983031  building_141 iou 0.0, f1_Score 0.0, WCov 0.019298992479069108, boundF 0.02058699922558223
2024-05-13-01-12-27-428601  building_142 iou 0.050120437279970356, f1_Score 0.09545655050727835, WCov 0.05934579439252336, boundF 0.06685137372122736
2024-05-13-01-13-29-830594  building_143 iou 0.1115822361080116, f1_Score 0.2007628990162618, WCov 0.1120785889707524, boundF 0.012820398887922236
2024-05-13-01-14-32-239052  building_144 iou 0.7139677239844184, f1_Score 0.8331168831168831, WCov 0.9989183342347214, boundF 0.2531036987910614
2024-05-13-01-15-34-653933  building_145 iou 0.3668798384382363, f1_Score 0.5368135927111548, WCov 0.38916761687571266, boundF 0.2382497973963312
2024-05-13-01-16-37-070860  building_146 iou 0.5040994807324406, f1_Score 0.6703007177250839, WCov 0.6923431734317343, boundF 0.2949609666013097
2024-05-13-01-17-39-480536  building_147 iou 0.41757502354999326, f1_Score 0.5891399278526676, WCov 0.9121437647485933, boundF 0.13788540209916014
2024-05-13-01-18-41-867750  building_148 iou 0.5688547704840984, f1_Score 0.7251847413620931, WCov 0.6881321645313554, boundF 0.24731489566782802
2024-05-13-01-19-44-308164  building_149 iou 0.22504100601421542, f1_Score 0.3674015888601268, WCov 0.9068936170212766, boundF 0.12282689794070996
2024-05-13-01-20-46-733633  building_150 iou 0.36657909551510603, f1_Score 0.5364915894267078, WCov 0.38135432473444614, boundF 0.13029707608293228
